"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"HAUS7",43,7e-06,1.865,"reduce survival"
"RP5-826L7.1",39,1e-05,1.847,"reduce survival"
"FAM181A",423,1.3e-05,1.83,"reduce survival"
"MTMR11",222,1.9e-05,1.814,"reduce survival"
"NBPF16",43,1.9e-05,1.821,"reduce survival"
"RP11-522B15.3",1,2.2e-05,1.802,"reduce survival"
"RPL23AP81",1,2.7e-05,1.815,"reduce survival"
"AP000354.4",13,3e-05,1.792,"reduce survival"
"H19",511,5.5e-05,1.747,"reduce survival"
"HOXC-AS2",6,6.6e-05,1.744,"reduce survival"
"HOXA7",10,6.7e-05,1.746,"reduce survival"
"DCAF4L1",25,7.4e-05,1.74,"reduce survival"
"SPDYA",42,7.6e-05,1.739,"reduce survival"
"CTD-3030D20.1",10,7.7e-05,1.739,"reduce survival"
"RP11-422P24.11",72,9.3e-05,1.726,"reduce survival"
"DPYSL5",3400,9.4e-05,1.727,"reduce survival"
"DRAXIN",525,9.7e-05,1.717,"reduce survival"
"RP11-309L24.2",1,0.000101,1.725,"reduce survival"
"TRA2A",2423,0.000103,1.72,"reduce survival"
"RP11-76I14.1",3,0.000108,1.717,"reduce survival"
"GSX2",29,0.00011,1.714,"reduce survival"
"AC013472.4",2,0.000115,1.708,"reduce survival"
"TYW1",559,0.000115,1.714,"reduce survival"
"CTB-134H23.3",2,0.000116,1.704,"reduce survival"
"AC097713.3",2,0.000121,1.711,"reduce survival"
"PSRC1",2919,0.000127,1.716,"reduce survival"
"SLC7A9",27,0.000127,1.713,"reduce survival"
"FREM2",300,0.000131,1.709,"reduce survival"
"GALNT3",79,0.00015,1.7,"reduce survival"
"ANGPTL6",43,0.000156,1.693,"reduce survival"
"LCTL",71,0.000164,1.694,"reduce survival"
"GJB6",13,0.000168,0.591,"extend survival"
"RP11-523G9.3",18,0.000174,1.687,"reduce survival"
"SPATS2L",2151,0.000174,1.692,"reduce survival"
"NEK6",1842,0.000185,1.685,"reduce survival"
"AEBP1",9137,0.000198,1.683,"reduce survival"
"ZNF274",671,0.000198,1.689,"reduce survival"
"LINC01057",60,0.000211,1.676,"reduce survival"
"HOXD11",21,0.000216,1.679,"reduce survival"
"FLNC",2405,0.000217,1.679,"reduce survival"
"WWTR1",1960,0.00022,1.68,"reduce survival"
"HOXD10",54,0.000233,1.677,"reduce survival"
"RNU6-762P",3,0.000235,1.686,"reduce survival"
"VSIG4",1134,0.000258,1.672,"reduce survival"
"DNAJC25",261,0.000268,1.669,"reduce survival"
"IFFO2",937,0.000272,1.661,"reduce survival"
"BACH1-AS1",2,0.000273,1.663,"reduce survival"
"AC022182.1",8,0.000279,1.659,"reduce survival"
"AC005954.3",2,0.000284,1.664,"reduce survival"
"RP11-5C23.1",109,0.000291,1.665,"reduce survival"
"ARRDC4",1030,0.000293,1.661,"reduce survival"
"C9orf84",11,0.00031,1.657,"reduce survival"
"AC007461.2",7,0.000321,1.654,"reduce survival"
"HOXA6",3,0.000326,1.655,"reduce survival"
"CFI",817,0.000342,1.652,"reduce survival"
"SDHDP6",11,0.000348,1.645,"reduce survival"
"RP11-950C14.3",7,0.000353,1.655,"reduce survival"
"PITX2",2,0.00036,1.65,"reduce survival"
"FABP5P7",32,0.000363,1.65,"reduce survival"
"NGFR",640,0.000367,1.645,"reduce survival"
"NEK8",148,0.000382,1.645,"reduce survival"
"BRAFP1",2,0.000385,1.644,"reduce survival"
"AC012363.7",4,0.00039,1.64,"reduce survival"
"RP5-1057J7.6",251,0.000395,1.646,"reduce survival"
"NOC2L",2382,0.000397,1.638,"reduce survival"
"RP11-153M3.1",26,0.000413,1.639,"reduce survival"
"POM121L7",1,0.000429,1.649,"reduce survival"
"TTC26",212,0.000431,1.64,"reduce survival"
"C20orf195",11,0.000437,1.638,"reduce survival"
"COL22A1",612,0.000444,1.636,"reduce survival"
"RNU6-510P",8,0.000448,1.636,"reduce survival"
"TTYH3",7847,0.000454,1.63,"reduce survival"
"BANF1P1",1,0.000466,1.632,"reduce survival"
"AC004471.10",2,0.000469,0.611,"extend survival"
"AC104809.4",4,0.000471,1.629,"reduce survival"
"MUL1",1241,0.000482,1.63,"reduce survival"
"KCNJ5",201,0.000484,1.634,"reduce survival"
"SLC47A2",201,0.000487,1.633,"reduce survival"
"TAGLN",1313,0.000504,1.628,"reduce survival"
"RDH10",879,0.000507,1.628,"reduce survival"
"CDK6",1212,0.00052,1.629,"reduce survival"
"PAX3",9,0.00052,1.628,"reduce survival"
"SLC35B2",1486,0.000523,1.625,"reduce survival"
"APLN",2640,0.000524,1.626,"reduce survival"
"MRC2",9009,0.000536,1.626,"reduce survival"
"TXLNB",96,0.000542,1.618,"reduce survival"
"ZNF799",100,0.000544,1.628,"reduce survival"
"IFT80",681,0.000565,1.624,"reduce survival"
"RP11-363E6.4",75,0.000566,1.624,"reduce survival"
"GAS2L3",210,0.000567,1.619,"reduce survival"
"KLHDC8A",2698,0.000577,1.619,"reduce survival"
"EXOSC10",1157,0.000585,1.624,"reduce survival"
"FBN3",185,0.000596,1.616,"reduce survival"
"RP11-434I12.2",6,0.000598,1.619,"reduce survival"
"IQCJ-SCHIP1",123,0.000601,1.616,"reduce survival"
"EMILIN1",3500,0.00061,1.615,"reduce survival"
