cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71
0.969885323,1.274853979,1.625193861,1.213221997,1.046769057,1.188398254,1.086373615,0.787046576,0.968508868,1.59627698,1.317700893,0.779908425,1.231508761,1.061845994,1.518045274,1.264431605,0.856398047,0.969530962,1.145400211,1.295122759,1.01438822,1.073341505,1.055763387,1.161312052,1.161768773,1.13387344,1.041151032,1.126221507,1.057793736,1.17825684,1.075735823,1.079585247,1.785608354,1.111235226,0.948925529,1.497049418,1.158606919,1.018833485,0.97692793,1.154426455,1.317383583,1.075133608,1.183567032,1.080491703,1.011076705,0.947883246,1.114612541,1.054455432,1.149742204,1.045469873,1.002037793,1.085686745,1.078646454,1.086250277,1.153942837,0.961032402,1.106862084,1.652136855,1.132992069,1.070720257,0.994972726,0.955618111,0.990937361,1.048985261,0.728300934,0.922769546,1.042662982,1.091397599,1.092390038,1.063437738,1.03322616
1.038881925,1.190543073,1.174902542,1.006686009,0.969626214,0.975432151,0.827312894,0.765960464,0.779697548,1.035765559,1.038972194,1.479864742,1.177522254,1.085269163,1.225084558,1.238012421,0.999917777,1.026123215,0.923604727,0.875073833,0.911112395,0.941233038,0.889641788,1.026231094,0.990469909,1.019518255,0.973563617,1.105010752,1.017854715,0.850743558,1.039516875,1.19916832,1.222058677,1.048276342,1.261838566,1.109022347,1.752062722,0.831542283,1.025304735,1.006781727,1.426504689,1.108653467,1.153301258,1.235542906,1.044343362,0.894134951,1.106503762,1.067320871,1.110996503,1.08409827,1.099125921,1.085086408,1.010343434,1.052367442,1.123323173,0.858228847,1.084315243,1.063504635,1.255491665,1.081237016,1.050812408,0.991340291,0.972156508,0.989485015,0.675605017,1.454587129,1.014959223,1.111308431,1.065093467,0.996898725,1.191042468
0.895122195,1.070528866,1.052506165,1.179828032,0.981266914,0.971997503,0.909141069,0.762736535,0.820058278,0.729555717,1.088242682,1.765113766,1.044194755,1.137030126,1.11249977,1.03793653,2.06228951,1.319064465,0.835529404,1.050198198,0.912750984,0.978668138,1.208456833,1.117700026,0.987731175,1.018630832,0.901377242,1.0777409,1.115707138,0.707507763,1.079609725,1.183543862,1.051814246,1.102688692,1.119905558,0.873340875,1.176671808,0.975211921,1.01285166,0.929786149,1.5710964,1.173701343,1.068527657,1.147746501,1.14628717,1.123787695,1.131116302,1.032844604,1.239789549,1.1057289,1.101776746,1.085563741,1.07781137,1.154629962,1.108085241,0.940659605,1.074024599,0.900132339,1.092346117,1.000225381,1.035658018,1.019044065,1.021281665,1.088081373,0.82363785,1.215104362,1.002468975,0.966778176,1.054313035,1.008679398,1.027307571
1.060290621,1.009861896,1.084421504,1.162874047,1.03735166,1.159536041,1.751665425,0.783064126,0.919678104,0.939754983,0.985096609,0.303213953,1.067612646,1.239015877,1.158818805,1.019299338,1.352309903,1.041791316,0.852862638,1.555035774,0.998509724,0.971554307,1.085513463,1.146685489,0.94654904,1.175277353,0.91783734,1.212594997,1.02193204,0.79123862,1.053921954,1.086684313,1.315883274,1.110351715,1.219293202,1.143798362,1.317536717,1.526708953,1.05908623,0.975962985,1.408897483,1.045702645,1.056010451,1.105172715,1.041449584,1.246637628,1.109241445,1.026979017,1.073423888,1.065065154,1.095258245,1.137425013,1.085385324,1.47728408,1.152162045,1.02787549,1.072188879,0.893953211,1.125457558,1.089873624,1.014673644,0.903938164,1.075712909,1.102640702,0.91842407,0.93397364,1.097102901,1.067401592,1.073616263,1.09860876,1.13876771
0.920438149,1.055031526,1.053964533,0.993527305,1.06925436,0.889384606,1.304760846,0.886660281,1.492029613,0.866718061,0.885687997,0.34852268,0.872583503,1.392468365,1.430018171,1.303722063,1.313123676,0.886290708,1.631362684,1.568373731,1.021807849,1.105209273,0.979465236,1.144958115,0.916768927,0.945236155,0.975099691,1.055673544,1.021554256,1.081805996,1.056872556,1.151396116,1.869429794,1.328122656,1.200657842,1.409924146,1.558089034,1.151703869,1.052683611,0.867166225,1.316521777,1.195638419,1.09456843,1.169769515,0.909972873,1.410157027,1.123272115,1.055267202,1.070051839,1.087036148,1.003625505,1.09125857,1.067460209,1.738645205,1.026451113,1.001209616,1.030626553,0.976105135,1.104402115,1.040926348,1.198769731,1.032909824,1.106473053,1.168811935,2.145079299,1.193677846,0.991161561,1.120712442,1.054291195,1.054726637,1.023086883
0.891495735,1.166702951,1.076436948,0.897788932,0.859922165,0.852452003,1.043668284,0.911322846,1.008954928,0.853955549,0.701530889,0.920776535,1.065822039,1.217184773,1.374422453,1.242476309,1.292283312,0.960705015,0.82420673,1.841141984,1.037621177,1.209001815,0.903457177,1.060854946,0.971450168,1.133405019,0.91642244,1.140077955,1.186959434,1.353137659,0.987940552,1.114114591,1.16026426,0.970118129,1.213541038,1.743542691,1.232455062,1.844207362,0.885540115,1.0751302,1.559984249,1.040234565,1.116229622,1.25252542,1.042552951,1.455228547,1.066086313,1.063532186,1.149399182,1.097249792,1.104334792,1.102949502,1.064202827,1.158242999,1.180439708,1.850641097,1.126494662,0.986311025,1.045567985,1.016551024,1.019389447,1.037787208,1.165653094,1.160409916,1.302558224,1.403381615,1.087670057,0.980130156,1.121592943,1.109457294,1.042332647
0.98214401,1.153384722,1.171544657,0.957588422,1.13791588,0.879949791,0.820698873,0.909850449,0.850918929,1.131509855,1.081001322,0.483919222,1.094399343,1.455079097,1.030157761,1.038242123,1.521302306,1.37332928,0.923290431,1.198161897,1.039102738,1.116329974,1.045582401,0.963632412,0.959824433,1.016759697,0.887132582,1.163955586,1.085163537,0.780220836,1.19041809,1.093590267,0.957979712,1.170009827,1.222020448,1.065871856,1.101052981,1.126353468,0.976686999,1.097496962,1.453942091,1.170956377,1.230654877,1.132096684,1.054082243,1.032527323,1.089978573,1.085015044,1.147017314,1.108615043,1.112554433,1.09604108,1.067294149,1.108944646,0.980420477,0.824315227,1.090844555,1.038466877,1.075822196,1.004907886,1.013204601,1.061491107,1.090670378,1.086638014,0.650166448,0.864306255,0.995993296,1.099643725,1.114338749,1.056311705,1.157574091
1.138755517,1.158135218,1.115966458,1.242603786,0.952277376,1.002970376,0.751197312,1.153096168,0.792120037,1.210587562,0.922998264,0.555401924,0.969131252,1.521018153,0.788992216,1.026863898,1.22128634,0.920305997,0.833708216,1.369726117,1.036441055,1.04246177,0.981464861,0.920986656,0.999459535,0.993120851,0.918883447,1.090839597,0.928016736,0.720257628,1.027457521,1.087356728,0.763889334,0.975694992,1.098334221,0.951209579,1.064958262,1.81219708,0.940544638,1.075067835,1.400860177,1.019564253,1.151157135,1.241202873,1.188996587,0.835526054,1.100263979,1.007360019,1.052139177,1.031138166,1.065408184,1.081063313,1.072557685,1.091197275,1.121782236,0.909544908,1.107266901,1.677198864,1.060077853,1.050486751,0.960114994,1.051572135,1.019260147,1.05816973,0.712060222,1.486657637,1.001777736,0.956736049,1.038557012,1.021655122,1.13637426
0.946264004,1.023518815,1.024060292,0.99468941,1.023140812,0.965475946,1.023450078,1.003875681,0.906134161,0.918107237,0.985150043,0.755179412,1.025125628,1.470569948,0.83968296,1.247264658,0.761619269,0.994629628,0.780232382,1.334435342,1.032673531,1.066943235,1.077454155,0.987944945,0.941856963,0.965651385,0.871551519,1.088238775,0.830121018,0.742521538,1.092150076,1.183971792,0.891925133,1.001907417,1.093392441,0.954931162,1.297878287,1.118326912,0.948203894,0.915328522,1.421313553,1.046885138,1.046219405,1.239691381,1.223181218,1.013519649,1.113254217,1.063046497,1.193913482,1.03234447,1.024279903,1.045508574,1.069036341,1.120484129,1.067123517,0.896956737,1.026386444,1.435165005,1.064866971,1.105829605,0.970921426,0.917820338,1.051256989,1.092154942,0.730783921,1.16541497,0.997519074,1.011741998,1.067600273,1.101004085,1.019532117
1.02600211,1.209910564,1.188430597,1.105301699,0.986432792,1.15667613,1.434860169,0.967155615,1.015503678,0.837796208,1.161662761,0.304087582,1.089276499,1.579536599,1.8003537,1.088509339,0.860424538,1.345495873,1.13088045,1.665157842,1.113862358,1.189617614,1.469112908,1.102958486,1.046339114,0.970553857,0.957954216,1.088788186,1.14946325,0.933539966,1.226758001,1.175885159,1.095414985,1.008687966,0.878553545,1.060941437,0.956941084,0.927964862,0.9177376,0.940768234,1.383900971,1.190182625,1.156549354,1.088360254,1.091967053,0.888993188,1.100645512,1.060765351,1.204301308,1.077998455,1.080066939,1.124442867,1.105635541,1.139893941,1.157153896,1.020846246,1.123645454,1.016186878,1.047933809,1.116404423,0.992204387,1.011535647,1.045746226,1.145754449,0.972023073,0.915489487,1.034250434,1.100031968,1.066086198,1.025997517,1.082666439
0.919316161,1.105866238,1.087301933,1.192489523,1.045358901,1.079539232,1.474238503,0.996356243,1.057710175,1.663117703,1.987269375,0.881664008,0.969825893,0.811490762,0.974775322,0.800259399,0.871653586,1.425233835,1.483724836,1.706742282,1.256523979,1.073302985,1.330695895,0.975387919,1.065816672,1.082778323,0.919875227,1.066902004,1.054113095,2.021423212,1.043146147,1.090500373,1.159363978,1.091258134,1.024561867,1.396034254,0.979959729,0.61568227,0.900128563,1.132965496,1.251371653,1.003310327,1.1632276,1.127062325,1.035359519,0.839133874,1.072386218,1.076525344,1.114115734,0.977011297,1.099035063,1.125889457,1.083792443,1.168060463,1.087833756,0.846571491,1.099313943,0.916328509,1.005982091,1.017217909,0.978768333,1.042105749,1.129073654,1.149123915,2.23863735,1.844294662,1.020398167,1.018817865,1.066878876,0.976991576,1.089867408
0.938068834,1.253294851,1.231029862,1.425967474,1.028456909,1.009005762,1.010744287,0.910397098,0.976682513,1.041969492,1.181525467,0.954797022,1.198877585,1.096737139,1.140078031,1.092333532,1.10280899,1.383493092,1.757593561,2.046062621,1.338859627,1.307348886,1.116606628,1.044326852,1.093825578,1.005284844,0.86378619,1.072355351,0.940079752,1.174125285,1.045766192,1.169008586,1.434712526,1.035767505,0.935493501,1.891231619,1.120366861,0.696839407,0.993125797,1.083556998,1.126220808,1.172609803,1.285131204,1.040569217,1.119064795,0.778286628,1.112935466,1.024203942,1.142457338,1.056133912,1.143454963,1.137789413,1.063606935,1.176354036,1.099130615,1.001756246,1.121470022,0.921504545,1.031016102,1.068315563,1.185836761,1.181182393,1.043599043,1.09849469,1.411667799,1.018442671,0.997771471,1.108357755,1.036652457,1.053099353,0.966335357
